id,url,header,endereço,area,comodos,banheiros,garagens,extras,preço,condomínio,Bairro,Retirado em
2513023076,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-125m2-venda-RS1600000-id-2513023076/,"Apartamento com 3 Quartos à Venda, 125m²","Rua Sacopa - Lagoa, Rio de Janeiro - RJ",125,3 Quartos,1 Banheiro,2 Vagas,,R$ 1.600.000,R$ 3.200,Lagoa,2021-04-14 11:14
2516002629,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-128m2-venda-RS1750000-id-2516002629/,"Apartamento com 3 Quartos à Venda, 128m²","Rua Almirante Guilobel - Lagoa, Rio de Janeiro - RJ",128,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.750.000,R$ 1.691,Lagoa,2021-04-14 11:14
2493723289,https://www.vivareal.com.br/imovel/apartamento-5-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-378m2-venda-RS10117119-id-2493723289/,"Apartamento com 5 Quartos à Venda, 378m²","Avenida Borges de Medeiros, 2331 - Lagoa, Rio de Janeiro - RJ",378,5 Quartos,5 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Academia
Condomínio fechado",R$ 10.117.119,,Lagoa,2021-04-14 11:14
2512708449,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-zona-sul-rio-de-janeiro-32m2-venda-RS265000-id-2512708449/,"Apartamento com Quarto à Venda, 32m²","Avenida Borges de Medeiros - Lagoa, Rio de Janeiro - RJ",32,1 Quarto,1 Banheiro,-- Vaga,,R$ 265.000,R$ 100,Lagoa,2021-04-14 11:14
https://www.vivareal.com.br/imoveis-lancamento/vivaz-ramos-2489054423,https://www.vivareal.com.br/imoveis-lancamento/vivaz-ramos-2489054423/,Vivaz Ramos,"Rua João Romariz, 122 - Ramos, Rio de Janeiro - RJ",42-45,1-2 Quartos,1 Banheiro,-- Vagas,Minha Casa Minha Vida,Sob Consulta,,Lagoa,2021-04-14 11:14
2515939855,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-124m2-venda-RS2180000-id-2515939855/,"Apartamento com 3 Quartos à Venda, 124m²","Lagoa, Rio de Janeiro - RJ",124,3 Quartos,3 Banheiros,2 Vagas,Interfone,R$ 2.180.000,R$ 2.400,Lagoa,2021-04-14 11:14
2516663208,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-115m2-venda-RS1800000-id-2516663208/,"Apartamento com 3 Quartos à Venda, 115m²","Avenida Alexandre Ferreira - Lagoa, Rio de Janeiro - RJ",115,3 Quartos,2 Banheiros,2 Vagas,,R$ 1.800.000,R$ 2.000,Lagoa,2021-04-14 11:14
2514828377,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-216m2-venda-RS3200000-id-2514828377/,"Apartamento com 3 Quartos à Venda, 216m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",216,3 Quartos,3 Banheiros,1 Vaga,"Área de serviço
Jardim
Closet
Copa",R$ 3.200.000,R$ 2.800,Lagoa,2021-04-14 11:14
2515941204,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-600m2-venda-RS4800000-id-2515941204/,"Apartamento com 4 Quartos à Venda, 600m²","Lagoa, Rio de Janeiro - RJ",600,4 Quartos,4 Banheiros,3 Vagas,"Piscina
Interfone",R$ 4.800.000,R$ 2.810,Lagoa,2021-04-14 11:14
2433340797,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-110m2-venda-RS1250000-id-2433340797/,"Apartamento com 2 Quartos à Venda, 110m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",110,2 Quartos,4 Banheiros,1 Vaga,"Varanda
Churrasqueira
Elevador
Academia
Playground",R$ 1.250.000,R$ 1.400,Lagoa,2021-04-14 11:14
2515268210,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-130m2-venda-RS2300000-id-2515268210/,"Apartamento com 4 Quartos à Venda, 130m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",130,4 Quartos,3 Banheiros,2 Vagas,Aceita animais,R$ 2.300.000,R$ 1.500,Lagoa,2021-04-14 11:14
2493460355,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-356m2-venda-RS4400000-id-2493460355/,"Apartamento com 3 Quartos à Venda, 356m²","Rua Professor Abelardo Lobo - Lagoa, Rio de Janeiro - RJ",356,3 Quartos,4 Banheiros,2 Vagas,,R$ 4.400.000,R$ 3.700,Lagoa,2021-04-14 11:14
https://www.vivareal.com.br/imoveis-lancamento/eldorado-ii-2502034955,https://www.vivareal.com.br/imoveis-lancamento/eldorado-ii-2502034955/,Eldorado Ii,"Rua Professor Otacílio, 133 - Santa Rosa, Niterói - RJ",95-160,3 Quartos,2-3 Banheiros,1-2 Vagas,,Sob Consulta,,Lagoa,2021-04-14 11:14
2513572052,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-380m2-venda-RS8400000-id-2513572052/,"Apartamento com 4 Quartos à Venda, 380m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",380,4 Quartos,5 Banheiros,4 Vagas,"Varanda
Elevador
Condomínio fechado
Ar-condicionado
Interfone",R$ 8.400.000,R$ 5.808,Lagoa,2021-04-14 11:14
2506275689,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-160m2-venda-RS4000000-id-2506275689/,"Apartamento com 4 Quartos à Venda, 160m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",160,4 Quartos,2 Banheiros,2 Vagas,"Piscina
Área de serviço
Interfone
Vista exterior",R$ 4.000.000,R$ 2.400,Lagoa,2021-04-14 11:14
2515995073,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-110m2-venda-RS1900000-id-2515995073/,"Apartamento com 2 Quartos à Venda, 110m²","Lagoa, Rio de Janeiro - RJ",110,2 Quartos,3 Banheiros,2 Vagas,"Elevador
Interfone",R$ 1.900.000,R$ 1.570,Lagoa,2021-04-14 11:14
2515286673,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-135m2-venda-RS1790000-id-2515286673/,"Apartamento com 3 Quartos à Venda, 135m²","Lagoa, Rio de Janeiro - RJ",135,3 Quartos,3 Banheiros,1 Vaga,"Elevador
Interfone",R$ 1.790.000,R$ 2.000,Lagoa,2021-04-14 11:14
2515285235,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-120m2-venda-RS2490000-id-2515285235/,"Apartamento com Quarto à Venda, 120m²","Lagoa, Rio de Janeiro - RJ",120,1 Quarto,3 Banheiros,1 Vaga,"Elevador
Interfone",R$ 2.490.000,,Lagoa,2021-04-14 11:14
2511194932,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-463m2-venda-RS9000000-id-2511194932/,"Apartamento com 4 Quartos à Venda, 463m²","Avenida Epitácio Pessoa, 2664 - Lagoa, Rio de Janeiro - RJ",463,4 Quartos,5 Banheiros,4 Vagas,,R$ 9.000.000,R$ 7.000,Lagoa,2021-04-14 11:14
https://www.vivareal.com.br/imoveis-lancamento/life-360-2495855279,https://www.vivareal.com.br/imoveis-lancamento/life-360-2495855279/,Life 360,"Estrada do Bananal, 360 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",62-164,2-4 Quartos,2-3 Banheiros,1 Vaga,,Sob Consulta,,Lagoa,2021-04-14 11:14
2457332508,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-125m2-venda-RS2300000-id-2457332508/,"Apartamento com 3 Quartos à Venda, 125m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",125,3 Quartos,3 Banheiros,1 Vaga,"Elevador
Área de serviço
Armário embutido
Armário na cozinha
Interfone",R$ 2.300.000,R$ 1.900,Lagoa,2021-04-14 11:14
